AuthorID,Author,Date,Content,Attachments,Reactions
"188027138891317249","eli_defi","10/06/2023 1:08 am",":one: :nova: :arbblue:","",""
"393895812502913024","gideonjohn","10/06/2023 2:30 am",":arbiblobblue:","",""
"1070401270550114396","sharcrypto","10/06/2023 7:50 pm","what this","",""
"1067883318466580580","brothersvankirk","11/06/2023 7:17 am","👀","",""
"989855102703665172","zhuangbiyang","11/06/2023 7:57 am","极域","",""
"837938117897748520","aaronbarboza","11/06/2023 5:38 pm","Please ensure that the conversation remains in English as this community is global. If you prefer to chat in Chinese, kindly use the Chinese chat or feel free to ask your questions in English.","",""
"635113700730208257","oxmobinu","12/06/2023 8:56 am","amazing","",""
"511344743192461312","amarrazza","12/06/2023 9:50 pm","gm","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","13/06/2023 2:57 pm","","",""
"933402461073457263","mehdi_ism#0890","15/06/2023 5:31 am",":one:","",""
"883186389259260006","onarcism","16/06/2023 11:01 am","huh","",""
"942865412310302770","duoplease","16/06/2023 11:03 pm","Good","",""
"878904513279447062","naigai7111","17/06/2023 10:42 am","Is customer service available?","",""
"837938117897748520","aaronbarboza","17/06/2023 1:51 pm","We have a dedicated customer #📬︱support channel available where you can ask your queries. Please feel free to use that channel for any assistance you need.","",""
"1003657293080047818","Nachzo#5883","17/06/2023 2:02 pm","Are you a robot? Please don't post the same message on all channels","",""
"1003657293080047818","Nachzo#5883","17/06/2023 2:02 pm","thank u","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","18/06/2023 11:01 pm","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","18/06/2023 11:03 pm","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","18/06/2023 11:04 pm","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","19/06/2023 7:23 pm","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","19/06/2023 7:23 pm","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","19/06/2023 7:27 pm","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","20/06/2023 3:15 am","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","20/06/2023 3:17 am","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","20/06/2023 3:31 am","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","20/06/2023 4:09 pm","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","20/06/2023 4:09 pm","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","20/06/2023 4:14 pm","","",""
"761169139095437333","vizrima","20/06/2023 4:31 pm","Hey team, I need support","",""
"761169139095437333","vizrima","20/06/2023 4:32 pm","I hope I’m in right place, I’ve been watching a scammer who scammed me which I can prove, I reported the addresss on etherscan but nothing is done and I can seee he is doing wrong by people","",""
"837938117897748520","aaronbarboza","20/06/2023 4:36 pm","It's truly disheartening to witness that you fell victim to a scam. I believe it's challenging to trace the perpetrators here, but there are some tools that could potentially assist you. By the way, could you please share how the scam occurred?","",""
"761169139095437333","vizrima","20/06/2023 4:39 pm","It was at the time of a particular arb dodge","",""
"761169139095437333","vizrima","20/06/2023 4:41 pm","I search on google about the event, wrong website, careless and signed all messages in my wallet, and the robbery was on","",""
"761169139095437333","vizrima","20/06/2023 4:41 pm","Withnn no out knowing it all gone","",""
"837938117897748520","aaronbarboza","20/06/2023 4:49 pm","That's unfortunate, my friend. I would advise you to refrain from using that wallet again. Sometimes, lessons can come at a high cost.","",""
"837938117897748520","aaronbarboza","22/06/2023 11:38 pm","@eli_defi | Arbitrum @Ana 💙 Arbitrum @hunter | Offchain Labs spam , please delete 👀","","💙 (3),🙏 (1)"
"800927513903104041","redmanstan","23/06/2023 11:45 pm","Question for offchain labs","",""
"800927513903104041","redmanstan","23/06/2023 11:46 pm","Stake token    The token that your chain's validators must stake in order to participate in your chain. This is hardcoded to $ETH for now, but future versions of Orbit chains will let you specify an arbitrary ERC-20 token contract here.","",""
"800927513903104041","redmanstan","23/06/2023 11:46 pm","Is this future arbitrary ERC-20 token able to be a arbitrum native token? Or is it ETH native?","",""
"308034275909959690","anthonye","24/06/2023 12:05 am","Whats the system requirements for running an Orbit chain?
Same as a full node? Any gotchas if I wanted to run my orbit chain on the cloud and expose a public IP for testing?","",""
"967038927137566780","Tomfz#5247","24/06/2023 7:23 am","Arbitrum Orbit Chains are optimistic rollups. They use a fraud-proof mechanism to ensure the validity of transactions, which is less computationally expensive than using zero-knowledge proofs. This makes Orbit Chains more scalable and efficient, while still providing the same security guarantees as Ethereum.","",""
"967038927137566780","Tomfz#5247","24/06/2023 7:23 am","@AnthonyE @RedManStan_0xMT 
https://discord.com/channels/585084330037084172/1043523039104606239/1121541449125740564","",""
"967038927137566780","Tomfz#5247","24/06/2023 7:24 am","You can choose to read the interpretation of Orbit by the team members. At the same time, it is mentioned that more explanations will continue to be updated","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","24/06/2023 5:38 pm","","","🇻🇳 (2)"
"993962375071924375","Arbitrum (will NEVER dm you)#1745","26/06/2023 2:30 pm","","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","27/06/2023 2:30 am","","",""
"992455768404148224",".mehdisalehioffchainlabs","27/06/2023 3:30 am","Yeah for sure. It can be an Arb native ERC20 token as well.","",""
"992455768404148224",".mehdisalehioffchainlabs","27/06/2023 3:33 am","It depends if you wanna run fullnode or an archive. currently we specify it as archive, cause in the process we deploy a blockscout explorer instance for you as well which works better which an archive. 
Also because on Devnet, you may not have that much txs/users, things would be so smooth and no need for a strong config, but it is based on the amount of usage of your devnet for sure.","",""
"1018669773325860896","0xmenna","27/06/2023 8:03 am","I went through the docs and I have a question: does the batch-poster need to be funded with the native token of the base chain (Arbitrum goerli for the devnet) in order to post transactions right ?","",""
"874613699581714442","harukiontheroad","27/06/2023 12:04 pm","I met some difficulties in the final step of deploying a L3 chain. Wondering how to solve this problem?","https://cdn.discordapp.com/attachments/1116812793606328340/1123139257536610314/image.png",""
"728149597565747210","damon4054","27/06/2023 12:39 pm","worldcoin, bsc and base is going to launch on op stack,  what about nova ?","",""
"837938117897748520","aaronbarboza","27/06/2023 12:56 pm","Orbit was announced a few weeks ago, and many projects have started building on it. I think there will be a huge number of chains using Orbit instead of Optimism. Optimism will become congested because they are using L2, but Orbit is on L3 and is much cheaper and faster than OPStack. In the coming months, many top players might build on Orbit because of its features and customisation","",""
"896760490628350002","hitesh7449","27/06/2023 1:14 pm","Does arbitrum orbit use arbitrum's common sequencer or does its own chain have its own sequencer","",""
"1003657293080047818","Nachzo#5883","27/06/2023 1:23 pm","Arbitrum Orbit Chains are optimistic rollups. They use a fraud-proof mechanism to ensure the validity of transactions, which is less computationally expensive than using zero-knowledge proofs. This makes Orbit Chains more scalable and efficient, while still providing the same security guarantees as Ethereum.","",""
"1003657293080047818","Nachzo#5883","27/06/2023 1:24 pm","I think it should have its own sequencer. But more information needs to be confirmed by team members","",""
"274730732818268161","rooo555","27/06/2023 1:31 pm","@Mehdi Salehi | Offchain Labs @gzeon | Offchain Labs could you confirm pls when online","",""
"900095429457362944","gzeon","27/06/2023 1:41 pm","currently you need your own sequencer","","👍 (1)"
"1008487020680712273","vadym_zolotarov","28/06/2023 3:13 pm","we want to add your blockchain to our services, need some test tokens on this steps of development","",""
"837938117897748520","aaronbarboza","28/06/2023 3:16 pm","Hey mate, Here is the list of faucets to get test tokens : https://discord.com/channels/585084330037084172/585084330037084180/1121961136007426129","",""
"462210577662738433","ayub7455","28/06/2023 10:40 pm","Nice community","",""
"841704400125034506","pasopatii","29/06/2023 12:37 am","Let's go","",""
"656850069584216064","vl_morghulis","29/06/2023 2:00 am","Message to allthe team . Please I sent asset to the Arbitrum contract adress..... Please help me recover my funds..","",""
"837938117897748520","aaronbarboza","29/06/2023 2:55 am","If you send funds directly to the foundation's contract address. Your funds will be lost","",""
"1003657293080047818","Nachzo#5883","29/06/2023 2:07 pm","Have a look at this info, it might be useful
https://discord.com/channels/585084330037084172/1113545831258271874/1123803784666152985","",""
"993962375071924375","Arbitrum (will NEVER dm you)#1745","01/07/2023 1:02 am","","",""
"830371304619769876","sintawati#0931","01/07/2023 11:46 pm","Sir, it's been more than a week but the assets that I bridged haven't arrived or returned !!!","",""
"1107917233226788935",".donnaphillips","02/07/2023 1:53 am","did you reach out to support","",""
"967038927137566780","Tomfz#5247","02/07/2023 7:36 am","I have already answered it for you in other channels
https://discord.com/channels/585084330037084172/859511259183448084/1124882997670334554","",""
"967038927137566780","Tomfz#5247","02/07/2023 7:36 am","try to seek help from #📬︱support   and #💬︱general 
thanks","",""
"1068220807202996286","upukii","02/07/2023 11:59 am","need help","",""
"984668610356199424","sureshkohli","02/07/2023 12:11 pm","#🚀︱odyssey-faq","",""
"1003657293080047818","Nachzo#5883","02/07/2023 1:34 pm","Is there anything I can help you? If it is an arbitrum one or nova problem, #💬︱general #📬︱support  can help you better","",""
